nagromadzenie G2_następstwo
propozycja SUBJ_skonkretyzować
urealnienie G2_moment
współdziałanie AND_harmonia
hitler AND_nazizm
grymas SUBJ_zdać
gimnazjum grecki
gabriela SUBJ_wyciszać
tytoń AND_hazard
zasadzka G1_partyzant
okres jesienny
częstochowa G1_działo
chichot AND_wrzask
bankrut całkowity
przeżycie dramatyczny
rogówka SUBJ_zainfekować
pociotek AND_wujek
wykonanie G1_tunel
kapral G2_mundur
gwiazdor brytyjski
łączenie G2_sztuka
zona SUBJ_bić
plan osiemnastowieczny
modernizacja całkowity
przedawnianie SUBJ_uniemożliwić
fantazja największy
wzrok G1_tomik
spanie SUBJ_przynosić
georg SUBJ_podkreślać
opłata SUBJ_segregować
słuchacz G1_zwycięzca
lewatywa SUBJ_robić
nadfiolet bliski
ukończenie wcześniejszy
chorągiew królewski
polska G1_miesięcznik
prawo G1_zamówienie
marszałek G2_stypendystka
łeb SUBJ_urwać
krzywda G2_pole
pęcherz AND_ból
szlachetność SUBJ_symbolizować
rozczarowanie G2_przykład
oszacowanie górny
autorka G2_utwór
zapytanie SUBJ_rozpatrywać
przekazanie G1_odeer
dyskurs SUBJ_rozbijać
maszt G2_produkcja
firma cywilny
jadwiga SUBJ_unieść
uczeń G2_wiedza
tysiąc SUBJ_zdzierać
jak G1_dupka
podstawa G1_przewidywanie
bojkot G1_beatles
miliard G2_uruchomienie
priorytet G2_wyławianie
popularność specjalny
afrykaner G2_zdanie
imię duchowy
stosowanie G1_kolor
porada AND_objaśnienie
rodzic G2_jubileusz
ala SUBJ_wypierdalać
góra G1_kartka
wiara odzyskany
pieniądz pusty
dolewka SUBJ_zrobić
produkt G2_pojęcie
ruda wielki
zmywanie AND_płukanie
zdatność SUBJ_mieć
odchudzanie G1_budżetówka
szkolenie G1_aplikant
wysuszenie G1_szkło
pokład G2_drżenie
odczynnik AND_urządzenie
kryminał francuski
wspomnienie przywołujący
wyziębienie SUBJ_sprzyjać
pszczelarz AND_piekarz
jak AND_baranina
elektron G2_taniec
wpłata G2_odroczenie
problem odziedziczony
seria SUBJ_przerwać
okręt SUBJ_rozbić
kleks SUBJ_zapisywać
lando G2_pomysł
korona G2_prowincja
klęska AND_zjednoczenie
kula AND_sławomir
stabilizacja AND_dojrzewanie
misja G2_prośba
użytkownik AND_zasób
czesław G2_rząd
konserwacja AND_rekonstrukcja
gamart G2_szkoleniowiec
pokolenie G1_larwa
anarchista łotewski
nagroda G2_wartość
rozliczenie przyjęty
grobla SUBJ_rozstąpić
święty SUBJ_wrastać
militaria AND_odznaczenie
ciało G2_złodziej
krokiew SUBJ_skwierczeć
mowa łasiczy
wezwanie AND_pragnienie
przyjęcie AND_chrześcijaństwo
pal G1_stercz
dopływ kolejny
szarlotka SUBJ_donieść
nadaktywność AND_niedoczynność
wyczynowiec G2_przygotowanie
reakcja sumaryczny
korekcja G2_test
tematyka dowolny
śmierć AND_utrata
personel SUBJ_leczyć
przykład AND_algorytm
szpital SUBJ_honorować
ćwierć G1_mit
odsunięcie SUBJ_zapowiedzieć
telewizor AND_stół
nieumiejętność AND_asertywność
pacjentka SUBJ_poddawać
sposób G1_dodawanie
oświetlenie G1_teren
ssanie G1_groch
wyniesienie G1_układ
zaliczenie G1_sesja
zanik SUBJ_sugerować
demokrata SUBJ_wzywać
pobliże G1_skraj
gangster AND_naukowiec
rozbiór AND_moc
nocleg SUBJ_czekać
nowakowski SUBJ_znać
wygnanie AND_detronizacja
rodak G2_przybycie
córka G1_hetman
worek G2_hałda
procedura G1_nakładanie
fotel wyplatany
eksperyment SUBJ_zostawiać
lek G2_roztwór
patron AND_misjonarz
wolność G2_materia
przeznaczenie AND_powołanie
władza SUBJ_nudzić
świadectwo G1_skuteczność
rytuał G1_odganianie
dramat najlepszy
braterstwo SUBJ_zadbać
rower SUBJ_odrestaurować
perypetia SUBJ_kazać
zabytek stuletni
oferta SUBJ_spływać
klinik AND_oddział
zasiadanie SUBJ_odmawiać
oprawca były
bicie gwałtowny
władysław SUBJ_dołożyć
robak AND_skorpion
kasta G1_wyrobnik
odszkodowanie G2_strasburg
sztuciec posrebrzany
samoobrona G2_oddech
tereska G2_siostra
margaryna słony
poliklinika G1_miasto
nieufność AND_zastrzeżenie
osadzanie AND_żłobienie
czułość G1_serce
książka odłożony
kategoria G1_sprawdzian
niebo SUBJ_sposępnieć
reakcja G2_wzór
pani G2_zaduma
partyzantka finansowy
epidemia dawny
kolumb G2_odkrycie
słonica SUBJ_dbać
procesor AND_pogłos
przesłanie AND_usunięcie
komputer SUBJ_przydawać
choroba SUBJ_tropić
andy SUBJ_uratować
zapłata SUBJ_pracować
mężczyzna G2_ciżba
wymiar G2_standard
stopa SUBJ_przechadzać
wyborca SUBJ_pomylić
beton AND_glina
dowódca G1_operacja
wykorzystanie G1_bibliografia
pojęcie szerszy
podbrzusze SUBJ_przytrzymywać
zbiór G1_książnica
interpretacja korzystny
śląskie AND_ofiara
konstruktor SUBJ_prześcigać
wysokość AND_głośność
kultywacja AND_koncentracja
dariusz AND_matusiak
powiązanie G2_łańcuch
recepcja G1_myśl
ugrupowanie G1_wróg
odcisk AND_podpis
mrówka SUBJ_chodzić
zadawanie G2_porządek
wspólniczka AND_brat
jarek SUBJ_dokładać
witt AND_artur
podniecenie AND_smutek
wytworzenie SUBJ_uniemożliwiać
drobnoustrój G2_rola
miłośnik G2_szóstka
ziemia G2_owoc
ciąg G2_prezentacja
umowa sztywny
podmiot SUBJ_uruchamiać
koncepcja G1_obudowa
rodzina romski
działanie G1_ingrida
puława G2_mostostal
głos brzękliwy
suwerenność AND_obszar
wynikanie SUBJ_zachodzić
ukraina SUBJ_polować
fotoreporter G2_oko_oczy
józefina G2_osiągnięcie
rada G2_przedstawicielstwo
ładunek G1_herbata
stracenie AND_osądzenie
fanatyzm G1_serce
teściowa własny
konkurencyjność AND_stworzenie
etylina G2_komponowanie
żołnierz G2_kordon
wielkość G1_gruczoł
utwór SUBJ_zaistnieć
właścicielka G1_czworonóg
album G2_zawartość
scena AND_konferansjer
niewydolność G2_epizod
sąsiedztwo SUBJ_wyłapywać
wróg AND_przyczyna
kościół G2_inwentarz
administrator G2_kontrola
obecność AND_problematyzacja
okazanie G1_cecha
niemiec G2_rewizyta
oferta spersonalizowany
pani G2_polonistka
wykorzystywanie G2_sukcesor
dawka G1_antybiotyk
ala SUBJ_chłodnąć
zeszyt AND_termometr
kałwa SUBJ_pojechać
wygładzenie AND_relaks
puszcza G2_drzewostan
indywidualizacja G2_sposób
anarchista SUBJ_wypełnić
pieczęć kościelny
wóz G2_zarys
ubieganie AND_renegocjacja
pokój sejmowy
kopniak G1_energia
kochanie SUBJ_przesadzać
pieprz AND_mięta
odporność G2_spadek
hala AND_piec
wspólnota AND_odrębność
antoni AND_dorota
wątpliwość SUBJ_zarysować
stypendium AND_wyróżnienie
pojęcie G2_konstruowanie
getto G2_forsowanie
narzeczona AND_matka
kierownictwo SUBJ_przejąć
instytut G1_wychowanie
plan AND_debiut
inklinacja AND_percepcja
start czwartoligowy
okupacja G1_prom
leczenie AND_odchudzanie
malik SUBJ_przejeżdżać
realizowanie dalszy
dżungla amazoński
wolnomularstwo G2_plan
dźwignia SUBJ_wracać
zemsta AND_krew
naród G2_niewola
użytek G1_fotograf
orzech SUBJ_składować
zapis G1_argumentacja
zarabianie AND_wydawanie
teheran G1_rok_roki
dokonanie SUBJ_streścić
miasteczko dwutysięczny
toksoplazmoza SUBJ_czuć
fiksacja G2_źródło
wakacje SUBJ_urządzać
indie AND_himalaje
wasilewski SUBJ_zdiagnozować
klient G1_tasiemka
temperatura AND_proporcja
jonas SUBJ_krzywić
ułan G2_garść
rabata dodatkowy
przyznanie G1_meldunek
taniec AND_konwersacja
miasto AND_udoskonalanie
refundacja G2_kontrolowanie
informator G2_głos
proroctwo G1_olof
widok G1_auto
karanie G2_propozycja
przekształcenie AND_prywatyzacja
oprogramowanie nieoficjalny
podejrzliwość AND_odczytywanie
sławomir AND_wasilewski
przekształcenie przyszły
chałupa SUBJ_bielić
rekrutacja AND_wydarzenie
beza G2_piekło
pastwienie G2_humor
załadowanie G1_aplet
wystawa ratuszowy
wyprzódki SUBJ_opowiedzieć
zawieranie G2_przymus
londyn G2_studium
kwas G2_preparat
jawność AND_medium
język AND_wyznanie
wałek AND_natrysk
mistrzyni AND_zieliński
prezenter AND_prezenterka
mord SUBJ_baranieć
skaner SUBJ_wyłączyć
wydzielenie G2_decyzja
technika SUBJ_zdominować
etat G1_naczelnik
obyczaj G1_odwiedzanie
pretekst G1_powstanie
kres AND_kresowiak
połówka AND_rodzynka
promocja AND_ugruntowanie
koszt krótkoterminowy
hofrat SUBJ_zatajać
kobieta SUBJ_omotać
przeróbka G2_raz
zakosztowanie G1_piękno
serwis AND_narzędzie
dozbrajanie AND_doszkalanie
ogórek G2_obieranie
żaba G2_samiec
rozwiązanie sieciowy
warcholstwo G1_karmazyn
obrzęk G1_kostka
chęć AND_niechęć
miłosierdzie G2_powód
odbiorca G2_zawiadomienie
zwieracz SUBJ_otworzyć
przybicie G1_szkuner
pracowniczka SUBJ_przedstawić
karalność AND_odpis
spawacz G2_sklep
anglik SUBJ_zagadać
ojczyzna G1_hamburger
trener G2_przyjście
prawdomówność AND_zaufanie
wspomnienie G1_matka
ławka G2_wnętrze
znaczenie najmniejszy
świat SUBJ_odzierać
konsekwencja G1_uwzględnienie
plastyk G2_palenie
gramatyk AND_tekst
łaba SUBJ_wybierać
ucieczka G1_leon
wybranie G2_umiejętność
nawyk G2_zasada
ciało niewłaściwy
radio G1_płyta
cóż AND_baba
uzdrowienie SUBJ_doznać
zaimek G2_pomoc
informacja G2_lucyna
kariera G1_władysława
komisarz G2_zastępca
nowicjat SUBJ_dostać_dostanie
niemcy SUBJ_odrodzić
obserwacja G2_wyraz
pstrąg SUBJ_zaprosić
kierunek G1_olivier
dzieje SUBJ_skończyć
wyrabianie AND_otwieranie
michał G2_uderzenie
redaktor G1_wydanie
inwestowanie AND_dysponowanie
katarzyna AND_wiesław
zespół G2_nabytek
socjaldemokrata SUBJ_zdołać
udostępnianie AND_drukowanie
ewelina SUBJ_grabić
jolanta AND_bolesław
światło SUBJ_mrużyć
traktowanie G1_opis
ewangelista AND_chrzciciel
plantator G2_rodzina
rytm klubowy
tadeusz SUBJ_wzruszyć
wygaśnięcie G1_funkcjonalność
wóz G2_cylinder
popart G1_garnizon
obóz dwudniowy
olej G2_kropla
ziemba AND_dyrektor
akt SUBJ_żywić
żywot G1_kopacz
płacenie G2_poziom
odsetka G2_koszt
holocaust G2_doświadczenie
sąsiadka SUBJ_bić
płatność początkowy
stoll G1_zdrada
zawodówka SUBJ_jeść
człowiek G1_rok_roki
stawka G2_brutto
dobrodziejstwo AND_okręg
adeptka G1_teatr
odkrywanie AND_wynajdywanie
marianna SUBJ_jęknąć
naczelnik SUBJ_dotrzymać
łódź SUBJ_badać
pseudonim AND_adres
szefostwo SUBJ_szykować
mieszanka nowy
kafelek szary
gang polski
powtórka SUBJ_wyjaśnić
historyka AND_eseista
zakładanie G1_przynęta
taniec SUBJ_nabierać
pan G1_wrogość
wieprz SUBJ_rozjeżdżać
koło lwowski
świta G2_anna
broda SUBJ_mylić
tylka G1_intruz
komputer AND_krzesło
gutkowski G1_on
wyciąg AND_rasa
burdel G2_opis
projektodawca G2_konstrukcja
firma G1_krawiectwo
zamierzenie G1_urbanista
bulla specjalny
lokal G2_sąsiedztwo
przymierze SUBJ_zawrzeć_zawarł
oglądanie G1_nowinka
logotyp G2_samochód
śmieszka G2_drozd
koalicja G2_dyscyplina
organizacja G2_system
doprowadzenie AND_dłużnik
zeznanie G2_postawa
opracowanie AND_uchwalanie
teren księżycowy
dużyk SUBJ_pisać
wizytówka G1_mecenas
krzyż AND_róża
przystosowanie AND_niezdolność
altanka AND_brama
symbol G2_nadużywanie
zrozumienie G1_skala
bicie AND_głód
przygotowanie AND_korepetycja
nurka G2_jerzy
nestor SUBJ_przymykać
kropelka SUBJ_wprowadzać
niemożność G1_opłacenie
orszak G2_element
posiadanie G2_umożliwienie
członek początkowy
posiadanie AND_użytkowanie
opowiastka G2_dziecko
smród G1_niebezpieczeństwo
sztych G2_kolekcja
pośredniczenie G1_dostawa
krach G1_marzenie
znacząco SUBJ_podwyższać
zatrudnienie AND_zlecenie
pogłoska G2_kibic
ściągnięcie G2_test
odtwarzanie G2_trakt
księgowa G1_oddział
samowola AND_prywata
obraza różny
część G1_wygnaniec
statystyka G2_prosta
malec G2_rodzic
trzewiczek G2_obleczenie
repeta SUBJ_zamówić
filharmonia AND_orkiestra
junak AND_junaczka
zakotwiczenie G2_sposób
telewizja G2_wyzwolenie
poddawanie bierny
autonomia G2_ofiara
złodziejstwo AND_szkoda
radny G1_dobczyca
mlaskanie AND_chrząkanie
czarnogóra G2_rząd
odkrycie prawdziwy
stworzenie AND_upowszechnienie
niemiec SUBJ_rozwalić
badanie G1_zawartość
zawiłość G1_dyskurs
uganda SUBJ_tonąć
sformułowanie G1_sprawozdawca
imię SUBJ_zapamiętać
prezydium G2_odjazd
górnik SUBJ_narazić
łucja SUBJ_domyśleć
cenzura G2_presja
uwłaszczenie G1_robotnik
liczba G1_przeprawa
postulat G1_pielęgniarka
segregator AND_tek
wysłuchanie AND_przyjęcie
szyb SUBJ_produkować
złoże G1_kopalina
elita gospodarczy
komunizm chiński
zażywanie G1_substancja
poznanie G2_planowanie
unia bydgoski
odbębnienie AND_wydukanie
magazyn G2_odróżnienie
przystawka G1_mocowanie
szybkość G1_zapis
rosjanin G2_ucho
kierowanie zły
eliminacja G1_amerykan
pisanina AND_gadanie
ala G1_dominik
styl AND_motyw
zastosowanie SUBJ_ułatwiać
pianista SUBJ_wyjechać
skryba AND_glosator
dobór G1_respondent
czasopismo SUBJ_zamykać
system SUBJ_tonizować
ryż SUBJ_oszczędzać
ochrona AND_torowanie
drzewo rachityczny
orzecznictwo G2_przegląd
dominacja AND_próba
kadłub AND_element
buzia chłopięcy
większość G2_oburzenie
przyczyna G2_atrybucja
sąsiedztwo G1_blok
olejnik AND_adwokat
zobowiązanie AND_ideologia
łubianka AND_dom
alojzy SUBJ_pogrzebać
kibic G2_dwugłos
gała SUBJ_wlepiać
widmo G2_przykład
tanina G1_mysz
rumunia wolny
cefarm AND_zarząd
kryminalista AND_pijak
wierzyciel G2_imię
koncha G1_automat
naleśnik G2_kosz
skóra G2_klin
kronika AND_pamiętnik
baobab SUBJ_rosnąć
postanowienie AND_orzeczenie
napitek G2_producent
kameduła G2_przeor
ambasador G1_konstytucja
siarka AND_grzegorzewski
cywilizacja SUBJ_wypierać
pilot G1_magnetowid
gama G1_reakcja
emanacja G1_polisa
dorota SUBJ_rozłożyć
szczęście G1_niebo
właścicielka G2_masaż
konkurencja AND_poszanowanie
chirurg SUBJ_cisnąć
off G1_alan
nadmiar G1_oglądanie
choroba G2_pretekst
gazeta czwartkowy
powracanie nieustanny
serwis AND_strona
sieć SUBJ_ogniwać
glosa AND_odniesienie
poziom G1_upust
uznanie G1_różnorodność
janusz G2_współpracownik
brokuł G2_różyczka
droga SUBJ_wykuwać
opinia G2_potęga
jasiek SUBJ_zachować
harcerz AND_wokalista
nałęcz SUBJ_pozostawać
zespół SUBJ_założyć
grzegorz G2_wałbrzych
duet G1_akordeonista
umieszczanie AND_serce
twór AND_blok
białystok AND_okolica
nuda G1_wieczór
demon SUBJ_przepowiadać
powiększenie G1_grono
odkurzanie AND_mycie
mur G1_biurowiec
faul G1_ostafiński
zapis G1_księga
zarobek G2_podwyższanie
posłanie SUBJ_skrajać
córka G1_alkoholiczka
konsultant główny
jan AND_halina
dywizja łotewski
wierzchołek sąsiedni
szybka AND_wino
kadencja SUBJ_zmierzać
spółka AND_oddział
charakter SUBJ_wręczyć
basista czarnoskóry
uruchomienie SUBJ_zapisać
kamyk G2_rozczarowanie
postępowanie AND_przewartościowanie
samorządność G2_budowanie
ludwika G2_maestro
muzyk AND_scenarzysta
dywagacja AND_domysł
głos AND_sylwetka
reforma SUBJ_wychwalać
argument rzeczywisty
szkło G1_wycinka
lornetka AND_fuzja
pediatra AND_onkolog
różyca SUBJ_wygrać
koło G1_kubeł
lustracja AND_urząd
herbata AND_ryż
odzież G2_konserwacja
odchylenie G1_klapka
wzrost G2_utrwalenie
pochód G1_wygnaniec
ciąg AND_kręgielnia
róg AND_środek
rozwój SUBJ_monitorować
język G1_henryk
radiostacja SUBJ_otrzymać
skrzyżowanie G2_ranga
delegacja AND_nic
ustrój były
kolczatka SUBJ_wyskoczyć
aureola G2_efekt
otoczenie otwarty
sanitariat AND_urządzenie
gmach SUBJ_zamykać
nieczytelność SUBJ_stwierdzić
frekwencja SUBJ_spełnić
zebranie SUBJ_ustanawiać
szarota SUBJ_stawiać
świat G2_mrok
gmina G2_zamożność
kanclerz SUBJ_przedzierzgnąć
zając AND_rafał
banaszek G2_aldona
myśliciel AND_święta
przetwarzanie AND_dystrybucja
kanał SUBJ_wyschnąć
gospodarstwo SUBJ_dotknąć
runo SUBJ_składać
korpus zborny
analiza G1_konspiracja
apel G2_wygłaszanie
plejada G1_intelektualista
ogniwo AND_lechia
olej SUBJ_sprawdzić
wyobrażenie G2_zderzenie
zdolność zaawansowany
osobnik SUBJ_nazywać
park cysterski
klechda AND_mit
chłopak SUBJ_żachnąć
lipiński AND_rafał
krowa G2_stadko
nabywca G2_bank
pogotowie G2_dyrektorek
manifestant SUBJ_prowokować
roleta AND_silniczek
staruszka SUBJ_ucałować
planista radziecki
gaik AND_kurek
muszka SUBJ_ciąć
majka AND_gośka
nagranie AND_scena
bieliźniarka G1_mamunia
bieganie AND_usportowienie
kurniawa SUBJ_potrząsać
mąż SUBJ_jęczeć
sezon G2_tabela
samolot G1_patera
przeniesienie G1_uroczystość
pański G1_studium
szkolenie G2_uregulowanie
groźba G2_mieszanina
lakier SUBJ_zniszczyć
macerat SUBJ_być
budownictwo G2_trend
długość AND_tylka
zmywanie SUBJ_maić
bliskość G1_pole
odszkodowanie wypłacany
premier AND_arafat
wyremontowanie G1_sala
szerokość AND_minimum
element SUBJ_występować
koło AND_rana
aktor SUBJ_zasłynąć
ukłon G2_tył
prowadzenie obowiązkowy
trójka SUBJ_przyłapać
łamanie AND_korupcja
deszcz G1_szyba
alfabet SUBJ_stanowić
anonimowość AND_kanon
lekkoatleta wielki
granica wytyczający
andrea SUBJ_pochylać
bóg G1_ład
ferdynand G2_stella
ceregiela wielki
przyłącze SUBJ_znajdywać
gimnazjum SUBJ_przypaść
biesiada SUBJ_spotykać
proch G2_sam
sprawdzian G1_lojalność
magistrat G1_członek
rzym AND_papież
pobliże G1_napięcie
czapka karakułowy
zmniejszenie AND_ustanie
zainteresowanie G2_reaktywowanie
witryna podobny
prawo austriacki
wniosek G2_odpis
myjka SUBJ_dostarczyć
okop AND_szaniec
anka SUBJ_boleć_boleje
więzień G1_lokal
wariant AND_dostosowanie
niepokój AND_nerwowość
zmienianie AND_utrzymywanie
przeciwnik G1_reaktor
nowak AND_rehabilitantka
użytki G1_mężczyzna
dokument AND_legitymacja
fundusz G2_manager
miliard pierwszy
historia AND_archeologia
miasto leśny
cieślak SUBJ_rozmawiać
dociekanie AND_ustalenie
podrywanie G2_strategia
stres G2_symptom
liverpool SUBJ_pozyskać
spojrzenie SUBJ_niepokoić
walka AND_liberalizacja
rozgłośnia G2_obrońca
tadek SUBJ_wyspowiadać
wielkość AND_sława
usługa G2_wyliczenie
kwestia G1_terminologia
energia wyższy
umiar AND_schludność
śmierć G2_brygada
żołnierz birmański
pojawienie SUBJ_uprawdopodobniać
kawaler AND_kawalarz
klęska G1_wygnaniec
podkański SUBJ_radzić
string SUBJ_zrobić
porozumienie G2_bagdad
wojciech AND_szkutnik
ratler G1_sąsiadka
szansa G1_przystąpienie
bełkot G1_strumień
gaza SUBJ_mieść
niemiec AND_murzyn
wdrażanie SUBJ_zaplanować
rodzic AND_córeczka
kolizja AND_przeprowadzenie
pięćdziesięciolatek SUBJ_znosić
matka G1_eliasz
poseł G1_stanisław
niemcy G2_alba
odcinek przedmiotowy
obieranie G2_konkurs
zbliżenie SUBJ_rozważać
mózg G2_odblokowanie
naciąganie G1_bank
nienawiść SUBJ_utrwalić
komentarz naukowy
łaska SUBJ_stać_stanie
podróżnik SUBJ_oddać
majewski SUBJ_zebrać
okręt SUBJ_wystrzelić
komisja SUBJ_zachwycić
konsorcjum SUBJ_przekraczać
tama G2_nieporządek
zawodnik SUBJ_sterować
sława AND_reputacja
rokita G2_artykuł
lato G2_gable
bezsilność G1_opinia
skała AND_wzniesienie
giewont AND_andrzej
uspokojenie G2_konieczność
stal G2_hipis
chmura AND_zmienność
punkt G2_atrybut
grupa G1_konwojent
martwica G2_ośrodek
woźniak G2_center
zasada G2_zgłębienie
gruszka SUBJ_występować
supermodelka G1_adrian
radyjko G2_bliskość
zwój AND_pióro
dotarcie G2_trasa
podmuch chłodny
codzienność AND_język
klimat hiszpański
pieniądz G1_romantyka
puszczanie G1_paw
dno G1_wisła
dłoń G1_jolanta
rozłożenie pełny
łódzkie G2_prezes
psycholog G2_dyskusja
grabski G1_pełnia
krzew G2_listowie
zbrodniarz SUBJ_mordować
impotencja AND_psucie
okolica G1_wylot
recesja SUBJ_sprzyjać
arystoteles G1_wymię
ząb G1_gwiazda
nakład przedmiotowy
towarzysz G2_uregulowanie
kart G1_apokalipsa
przepaść G1_gatunek
posłuszeństwo SUBJ_okazać
chłop SUBJ_uzależniać
podążanie G2_przewodnik
lokalizacja natychmiastowy
bór G1_gospodarka
kaśka SUBJ_prowokować
aura G1_klub
samoocena G1_skuteczność
uposażenie AND_odprawa
koleś AND_koleżanka
sombrero AND_rondo
inżynier G2_wieża
kąpiel publiczny
choroba alergiczny
kultura G2_nadejście
zmiana AND_przestrajanie
publikacja G1_marek
dezaprobata lekki
szkolnictwo G1_europa
rachuba SUBJ_utracić
lucjan SUBJ_odsuwać
pochwa G2_uderzenie
bydgoszcz G2_obwodnica
krew AND_płomień
mięso AND_ikra
maseczka SUBJ_zsunąć
ofiarodawca G1_sprzęt
zakażenie SUBJ_przenosić
nurkowanie SUBJ_brać
pieniądz SUBJ_przeżreć
jedynka SUBJ_zafundować
dowództwo południowy
chłopiec G2_garstka
typek SUBJ_nizać
ziemia G2_wojownik
odwodnienie prawidłowy
broń SUBJ_przerzucać
przyozdabianie G1_choinka
baranowski AND_tomasz
kaliningrad dzisiejszy
slajd G2_przełączanie
marszałek G2_stołek
strażnik SUBJ_przekręcić
ulewa G1_łza
teraźniejszość AND_lud
wrażenie egzotyczny
podium SUBJ_pretendować
kant SUBJ_krytykować
stopa SUBJ_łgać
wystawianie AND_wydawanie
morze G2_namiastka
głos główny
doktor G2_czupryna
notariusz G2_wynagrodzenie
pobyt SUBJ_trwać
podział AND_dziad
sportowiec SUBJ_przemieszczać
policzek umorusany
sznaps SUBJ_dostać_dostoi
ubarwienie G1_historia
rzeka SUBJ_wzdłużyć
nagroda możliwy
mistrzostwo G1_formacja
sitek AND_starosta
epidemia AND_stan
skierowanie AND_aliant
zjazd G1_monarcha
cyfra SUBJ_wystukiwać
usta G1_babka
głos G1_cesarzowa
girlsa G2_szereg
tętnica SUBJ_stawać
nacisk G1_aliant
kadencyjność G1_rada
techniczno SUBJ_zawieść
czas G1_specsłużba
jazda G2_amator
inwazja udany
stosunek życzliwszy
kaczmarek AND_ryszard
wabik G2_rola
kolekcja niepowtarzalny
pudełeczko G2_wierzch
wino G2_lampeczka
autobus G2_porywacz
obrót G1_wirnik
podaż G2_okres
dopasowywanie G1_etyka
fraza SUBJ_mieszać
niedogodność SUBJ_cierpieć
struktura prosty
numer G1_instrumentum
członka AND_choroba
lach mały
aldona SUBJ_opowiedzieć
taras G1_beza
opracowanie G2_postulat
powrósło G2_niż
oburzenie SUBJ_wyrazić
załącznik AND_podanie
statek AND_puzon
pozbawienie G1_emerytura
butrym SUBJ_mówić
dwójka AND_pkt
przeczucie SUBJ_wyrzucić
tomek G2_rower
balcerowicz G1_wymię
następstwo G1_wyzwolenie
sklep G1_silver
kłącze podziemny
usługa G1_dama
krystyna SUBJ_podrażać
środek SUBJ_zaaplikować
tor G2_współwłaściciel
płyta retrospektywny
orientacja G2_kąt
knur G2_nasienie
przyczyna SUBJ_zdefiniować
uparcie SUBJ_łamać
element SUBJ_zetknąć
obrzeże G1_bunt
zaciąg G2_punkt
majątek G2_pojęcie
szereg G1_konsultacja
wypowiedź AND_krok
prosta G1_przejście
pierożek SUBJ_jeść
zastaw SUBJ_dostać_dostoi
konwencja G2_przystosowanie
generowanie G1_kontener
paczkowski SUBJ_minąć
motywacja G2_wizja
prawo G1_papuga
miłośnik AND_myśliciel
lina G1_batalion
zjawisko G1_przeciążenie
redukcja G1_złożoność
sygnał dziwny
chodnik AND_uraz
sezon G1_robienie
restauracja SUBJ_obstawić
oszustka G2_uwaga
zagonek SUBJ_zagospodarować
trójmiasto G2_mieszkanko
pogoda AND_świętość
noga G1_dzieciak
zbieranina G1_pomysł
pawilon G2_sprzedaż
imigracja chiński
europa G1_konurbacja
puder G2_zapach
żal AND_krzywda
sierpień AND_czerwiec
rysunek AND_odcień
uszkodzenie niewielki
złuszczanie G2_czas
awans G2_kanał
orkiestra SUBJ_ulokować
absolwent G2_zwolnienie
wzrost G1_bakteria
gmina AND_inicjatorek
wiceprezes G1_klinika
szkolnictwo G2_infrastruktura
substancja G2_bakteria
fasola SUBJ_woleć
leon SUBJ_kudłać
wiesława G2_urolog
teren G1_kuźnia
enklawa strzeżony
barański AND_perkusista
projekt G1_udomowienie
strop G2_zarwanie
lokator G2_wymeldowanie
bycie AND_kota
margrabia chciwy
energia G2_porównanie
możność G1_podanie
wieża AND_potop
nuta AND_partytura
zaraza G2_szosa
campa G2_amerykanin
jabłoń G2_okulant
miasto G1_market
telewizor SUBJ_służyć
maszyna G1_pełnia
trop SUBJ_pozostać
uzależnienie SUBJ_przybyć
strzelanina G1_zasłonka
sytuacja G2_wypracowanie
kontrola G1_bazar
specyfika G1_zagadnienie
subwencja SUBJ_przeznaczać
okolica AND_jezioro
baza AND_brygada
pamir SUBJ_lubić
pożytki AND_mit
porozumienie AND_utwór
naród wspaniały
ofiara G1_abraham
holta AND_jarosław
czerń AND_ciemność
ruda G2_kawałek
wyzucie G1_człowiek
luka G2_zapełnienie
plik importowany
danuta G2_kwiaciarnia
obfitość AND_bujność
reklama G2_zjazd
popijanie SUBJ_dostać_dostanie
szafa domowy
burza SUBJ_zapędzić
pracownica G1_cmentarz
pot G1_gnicie
mocarstwo AND_supermocarstwo
serce G1_gucio
skuter G1_wartość
kompromis AND_rozważanie
zegar zamkowy
bulwar G1_wolter
ciało SUBJ_wychylić
mecz G1_dal
tylka G1_wyzwanie
żona AND_pokojówka
organ SUBJ_westchnąć
dzidzia SUBJ_zrywać
monitorowanie AND_reagowanie
przygotowanie G1_oferta
wzięcie G2_okazja
jegomość podpity
tonaż duży
przewidywalność G1_zachowanie
polubienie SUBJ_być
dewaluacja G1_system
egzystencja skromny
irena G2_strach
nazista SUBJ_podawać
derby G2_organizator
hipopotam SUBJ_stanąć
chirurg fiński
dezintegracja G1_ciało
wzięcie G2_przyjemność
lasota SUBJ_pisać
tempo SUBJ_podobać
babcia SUBJ_poślubić
wspólnik SUBJ_nęcić
opaska G2_podłoże
polak G2_zbrodnia
rozmowa G2_czas
odpowiedzialność G1_car
penis SUBJ_ulegnąć
historia AND_celebrowanie
wniosek SUBJ_ponowić
ministerstwo SUBJ_skorzystać
zwierzyniec G2_mieszkaniec
projekt G2_konsultant
kredka AND_samochodzik
rozpoczęcie późny
rosjanin G1_dokument
spadek SUBJ_potępić
nerw ukryty
janek G2_strona
konstytucja G2_egzemplarz
